000005090053001000042007000010050483090000000000028017000000048004003050070010030|27|11|2022|EP|DIF|01246|Medium|510|21 FullHouse·9 HiddenSingle·25 NakedSingle·4 LockedCandidatesType1(Pointing)
600000002008005040007000100070900013060050007030004900000630020200009000000000891|27|11|2022|EP|EXP|01246|Medium|564|20 FullHouse·11 HiddenSingle·25 NakedSingle·1 NakedPair·3 LockedPair·1 LockedCandidatesType1(Pointing)
600200019090008000000060050820400000004072500000000100008047000000000063001903700|27|11|2022|NYT|MD|NA|Medium|394|21 FullHouse·13 HiddenSingle·22 NakedSingle·1 LockedPair
006320050050004090400001700040600100830000200000052000000000089070405000000000000|27|11|2022|NYT|HRD|NA|Medium|772|20 FullHouse·22 HiddenSingle·16 NakedSingle·1 NakedPair·1 LockedTriple·2 LockedCandidatesType1(Pointing)·2 LockedCandidatesType2(Claiming)
000300860800050000000007905002040730000000000047000006001070500006290040000005078|28|11|2022|EP|DIF|01247|Medium|604|21 FullHouse·18 HiddenSingle·17 NakedSingle·4 LockedCandidatesType1(Pointing)
000083006000100070020094003008000060100029050502000900010208007000006000034000100|28|11|2022|EP|EXP|01247|Medium|520|20 FullHouse·8 HiddenSingle·27 NakedSingle·1 NakedTriple·1 LockedPair·2 LockedCandidatesType1(Pointing)
000000009008300500003600000000060200400080107010020000100000002500010006290004050|28|11|2022|NYT|MD|NA|Medium|432|20 FullHouse·12 HiddenSingle·26 NakedSingle·2 LockedPair
005000000020090004047300000306000790800900200000030860000000100700100002000056030|28|11|2022|NYT|HRD|NA|Medium|588|20 FullHouse·9 HiddenSingle·28 NakedSingle·2 NakedTriple·1 LockedTriple·1 LockedCandidatesType1(Pointing)
064000008000124000700000005020835000500000000007000061900000076000506000003007100|29|11|2022|EP|DIF|01248|Medium|488|20 FullHouse·21 HiddenSingle·16 NakedSingle·1 LockedCandidatesType1(Pointing)
009000304000002000300080610000400005036010002050076100700060501000800000090000480|29|11|2022|EP|EXP|01248|Medium|510|20 FullHouse·8 HiddenSingle·27 NakedSingle·1 NakedPair·3 LockedCandidatesType1(Pointing)
000000900085700004000200030210030050000008420000070000070040000491000300000006500|29|11|2022|NYT|MD|NA|Medium|512|19 FullHouse·18 HiddenSingle·21 NakedSingle·2 LockedCandidatesType1(Pointing)
430020500000500094900000000700000041804000900020003057090165000000040000007000000|29|11|2022|NYT|HRD|NA|Medium|718|19 FullHouse·19 HiddenSingle·19 NakedSingle·5 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)
300010402000503100000000000420081600000020700008340000000000000006407000809000003|30|11|2022|TG|TGH|06059|Medium|532|21 FullHouse·10 HiddenSingle·27 NakedSingle·3 LockedCandidatesType1(Pointing)·1 LockedCandidatesType2(Claiming)
701098200000070008020000050053000040600080000002050800090000000030600000400007900|30|11|2022|EP|DIF|01249|Medium|522|19 FullHouse·25 HiddenSingle·14 NakedSingle·1 LockedPair
800300047006400000000070600000010086030000459200000001041000000000540300090000000|30|11|2022|EP|EXP|01249|Medium|412|19 FullHouse·12 HiddenSingle·27 NakedSingle·1 NakedPair
930600400100000670000000900000063000040810056000402008050700010000580000470090000|30|11|2022|NYT|MD|NA|Medium|560|21 FullHouse·24 HiddenSingle·10 NakedSingle·2 LockedCandidatesType1(Pointing)
000000000206405709005802000507080000031006090400700003000020000000670001013000020|30|11|2022|NYT|HRD|NA|Medium|430|21 FullHouse·11 HiddenSingle·23 NakedSingle·2 LockedCandidatesType1(Pointing)
